# field        n   sx    sy   ra         dec         nx  ny  date       time
j001420m3025  60   6.5   6.1   3.586531  -30.415215  5   5  2023-10-29 19:23:44.808
j021652m0508 270  11.8   9.3  34.240568   -5.155616  9   7  2024-01-19 06:41:41.047
j021656m0508  90   5.3   6.7  34.221813   -5.148665  4   5  2024-01-21 05:43:22.329
j021700m0504 180  13.1   7.3  34.243730   -5.069439 10   6  2023-12-23 18:58:15.129
j021736m0427  40   5.5   6.7  34.404655   -4.452139  5   5  2023-12-24 09:41:41.047
j022428p0002  80   5.2   6.7  36.108917    0.038644  4   5  2024-01-14 15:25:40.025
j022556p0308  60   4.8   6.7  36.481934    3.129159  4   5  2024-01-26 03:37:17.295
j023016m0517  40   6.0   6.6  37.571289   -5.277156  5   5  2023-12-09 20:34:00.247
j024024m0253 120   4.9   6.7  40.098272   -2.875495  4   5  2024-01-26 09:39:23.999
j030508m3146  60   4.9   6.7  46.288799  -31.769892  4   5  2024-01-27 13:37:46.095
j033212m2745 180   5.7   6.7  53.059355  -27.753599  5   5  2024-01-20 01:49:09.707
j033212m2747 190   6.9   7.6  53.042680  -27.757337  6   6  2024-01-01 18:41:52.404
j033212m2749  80   6.6   3.7  53.044526  -27.812368  5   3  2023-11-19 20:05:34.733
j033216m2750  40   6.7   5.2  53.085812  -27.882649  5   4  2023-12-06 17:50:55.068
j044644m2637 240   5.7   6.7  71.678930  -26.609564  5   5  2024-01-29 04:24:23.366
j050148m4338 120   6.6   4.5  75.457473  -43.631918  5   4  2023-11-26 06:27:20.082
j165448p6258  20   6.2   6.4 253.707795   62.968176  5   5  2024-01-24 16:47:44.825
j205832m4247 180   6.0   7.9 314.635160  -42.787775  5   6  2023-10-16 09:42:16.799
j221732p0009  80   4.7   6.7 334.381165    0.147688  4   5  2023-11-08 01:39:10.472
j231628m5910 296   6.6   7.4 349.116880  -59.160376  5   6  2023-10-18 01:43:18.315
